Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
1,DS,,101.5,Y
2,,03/02/2002 0:00,100,N
3,DS,05/03/2006 0:00,100.625,N
4,DS,3/13/2007 12:00:00 AM,100.875,Y
100001,DS,,101.5,Y
5,DS,03/07/2007 0:00,101.25,Y
6,DS,07/12/2005 0:00,100.375,Y
7,LP,10/21/2005 12:00:00 AM,100.25,N
100002,,03/02/2002 0:00,100,N
8,DS,11/08/2006 0:00,100.125,Y
100003,DS,05/03/2006 0:00,100.625,N
9,LP,2/13/2007 12:00:00 AM,99.25,Y
10,DS,1/31/2006 12:00:00 AM,100.75,N
11,LP,1/26/2006 12:00:00 AM,101.25,N
100004,DS,3/13/2007 12:00:00 AM,100.875,Y
12,DS,1/31/2007 12:00:00 AM,100.5,N
13,DS,2/19/2007 12:00:00 AM,100,N
100005,DS,03/07/2007 0:00,101.25,Y
14,DS,3/14/2006 12:00:00 AM,100.375,N
15,DS,06/12/2007 0:00,98.25,N
100006,DS,07/12/2005 0:00,100.375,Y
16,DS,1/17/2007 12:00:00 AM,100.125,Y
17,DS,1/22/2007 12:00:00 AM,99.5,Y
18,DS,10/19/2007 12:00:00 AM,99,N
100007,LP,10/21/2005 12:00:00 AM,100.25,N
19,DS,5/16/2006 12:00:00 AM,100.5,N
100008,DS,11/08/2006 0:00,100.125,Y
100009,LP,2/13/2007 12:00:00 AM,99.25,Y
20,DS,2/28/2007 12:00:00 AM,101.375,N
21,LP,5/18/2006 12:00:00 AM,97.875,N
22,DS,8/17/2006 12:00:00 AM,100.375,N
100010,DS,1/31/2006 12:00:00 AM,100.75,N
23,DS,09/11/2006 0:00,99.625,N
24,LP,03/01/2007 0:00,102,Y
25,DS,6/30/2006 12:00:00 AM,100.875,N
100011,LP,1/26/2006 12:00:00 AM,101.25,N
26,DS,6/20/2006 12:00:00 AM,99.75,N
27,DS,07/07/2006 0:00,99.875,N
28,DS,09/08/2006 0:00,101,Y
100012,DS,1/31/2007 12:00:00 AM,100.5,N
29,DS,09/08/2006 0:00,100.75,N
100013,DS,2/19/2007 12:00:00 AM,100,N
30,LP,8/30/2006 12:00:00 AM,98.75,Y
100014,DS,3/14/2006 12:00:00 AM,100.375,N
31,DS,08/02/2006 0:00,100.25,N
32,LP,3/19/2007 12:00:00 AM,99.875,Y
100015,DS,06/12/2007 0:00,98.25,N
33,DS,08/10/2006 0:00,100.625,Y
100016,DS,1/17/2007 12:00:00 AM,100.125,Y
34,DS,07/11/2006 0:00,99.875,Y
100017,DS,1/22/2007 12:00:00 AM,99.5,Y
35,DS,08/09/2006 0:00,100.625,N
100018,DS,10/19/2007 12:00:00 AM,99,N
36,DS,8/18/2006 12:00:00 AM,100.5,N
100019,DS,5/16/2006 12:00:00 AM,100.5,N
37,DS,08/03/2006 0:00,100.875,Y
100020,DS,2/28/2007 12:00:00 AM,101.375,N
38,,,100.25,N
100021,LP,5/18/2006 12:00:00 AM,97.875,N
39,LP,11/02/2006 0:00,101,Y
100022,DS,8/17/2006 12:00:00 AM,100.375,N
40,DS,08/10/2006 0:00,99.875,N
100023,DS,09/11/2006 0:00,99.625,N
41,DS,03/06/2007 0:00,99.625,N
42,DS,3/14/2007 12:00:00 AM,101.375,Y
100024,LP,03/01/2007 0:00,102,Y
43,DS,9/25/2006 12:00:00 AM,100,N
