SalePrice,Id,LotArea,Street,YearRemodAdd,YearBuilt,Heating,BedroomAbvGr,KitchenAbvGr,GarageType,ScreenPorch,PoolArea,MoSold,SaleType,SaleCondition
208500,1,8450,Pave,2003,2003,GasA,3,1,Attchd,0,0,2,WD,Normal
181500,2,9600,Pave,1976,1976,GasA,3,1,Attchd,0,0,5,WD,Normal
223500,3,11250,Pave,2002,2001,GasA,3,1,Attchd,0,0,9,WD,Normal
140000,4,9550,Pave,1970,1915,GasA,3,1,Detchd,0,0,2,WD,Abnorml
250000,5,14260,Pave,2000,2000,GasA,4,1,Attchd,0,0,12,WD,Normal
143000,6,14115,Pave,1995,1993,GasA,1,1,Attchd,0,0,10,WD,Normal
307000,7,10084,Pave,2005,2004,GasA,3,1,Attchd,0,0,8,WD,Normal
200000,8,10382,Pave,1973,1973,GasA,3,1,Attchd,0,0,11,WD,Normal
129900,9,6120,Pave,1950,1931,GasA,2,2,Detchd,0,0,4,WD,Abnorml
118000,10,7420,Pave,1950,1939,GasA,2,2,Attchd,0,0,1,WD,Normal
129500,11,11200,Pave,1965,1965,GasA,3,1,Detchd,0,0,2,WD,Normal
345000,12,11924,Pave,2006,2005,GasA,4,1,BuiltIn,0,0,7,New,Partial
144000,13,12968,Pave,1962,1962,GasA,2,1,Detchd,176,0,9,WD,Normal
279500,14,10652,Pave,2007,2006,GasA,3,1,Attchd,0,0,8,New,Partial
157000,15,10920,Pave,1960,1960,GasA,2,1,Attchd,0,0,5,WD,Normal
132000,16,6120,Pave,2001,1929,GasA,2,1,Detchd,0,0,7,WD,Normal
149000,17,11241,Pave,1970,1970,GasA,2,1,Attchd,0,0,3,WD,Normal
90000,18,10791,Pave,1967,1967,GasA,2,2,CarPort,0,0,10,WD,Normal
159000,19,13695,Pave,2004,2004,GasA,3,1,Detchd,0,0,6,WD,Normal
139000,20,7560,Pave,1965,1958,GasA,3,1,Attchd,0,0,5,COD,Abnorml
325300,21,14215,Pave,2006,2005,GasA,4,1,BuiltIn,0,0,11,New,Partial
139400,22,7449,Pave,1950,1930,GasA,3,1,Attchd,0,0,6,WD,Normal
230000,23,9742,Pave,2002,2002,GasA,3,1,Attchd,0,0,9,WD,Normal
129900,24,4224,Pave,1976,1976,GasA,3,1,Attchd,0,0,6,WD,Normal
154000,25,8246,Pave,2001,1968,GasA,3,1,Attchd,0,0,5,WD,Normal
256300,26,14230,Pave,2007,2007,GasA,3,1,Attchd,0,0,7,WD,Normal
134800,27,7200,Pave,2000,1951,GasA,3,1,Detchd,0,0,5,WD,Normal
306000,28,11478,Pave,2008,2007,GasA,3,1,Attchd,0,0,5,WD,Normal
207500,29,16321,Pave,1997,1957,GasA,2,1,Attchd,0,0,12,WD,Normal
68500,30,6324,Pave,1950,1927,GasA,1,1,Detchd,0,0,5,WD,Normal
40000,31,8500,Pave,1950,1920,GasA,3,1,Detchd,0,0,7,WD,Normal
149350,32,8544,Pave,2006,1966,GasA,3,1,Attchd,0,0,6,WD,Normal
179900,33,11049,Pave,2007,2007,GasA,3,1,Attchd,0,0,1,WD,Normal
165500,34,10552,Pave,1959,1959,GasA,4,1,Attchd,0,0,4,WD,Normal
277500,35,7313,Pave,2005,2005,GasA,2,1,Attchd,0,0,8,WD,Normal
309000,36,13418,Pave,2005,2004,GasA,4,1,BuiltIn,0,0,9,WD,Normal
145000,37,10859,Pave,1995,1994,GasA,3,1,Attchd,0,0,6,WD,Normal
153000,38,8532,Pave,1990,1954,GasA,3,1,Attchd,0,0,10,WD,Normal
109000,39,7922,Pave,2007,1953,GasA,3,1,Detchd,0,0,1,WD,Abnorml
82000,40,6040,Pave,1955,1955,GasA,2,2,NA,0,0,6,WD,AdjLand
160000,41,8658,Pave,1965,1965,GasA,3,1,Attchd,0,0,12,WD,Abnorml
170000,42,16905,Pave,1959,1959,GasA,2,1,Attchd,0,0,7,WD,Normal
144000,43,9180,Pave,1983,1983,GasA,2,1,Attchd,0,0,12,WD,Normal
130250,44,9200,Pave,1980,1975,GasA,3,1,Detchd,0,0,7,WD,Normal
141000,45,7945,Pave,1959,1959,GasA,3,1,Attchd,0,0,5,WD,Normal
