SalePrice,Id,BsmtHalfBath,GarageArea,WoodDeckSF,OpenPorchSF,YrSold
208500,1,0,548,0,61,2008
181500,2,1,460,298,0,2007
223500,3,0,608,0,42,2008
140000,4,0,642,0,35,2006
250000,5,0,836,192,84,2008
143000,6,0,480,40,30,2009
307000,7,0,636,255,57,2007
200000,8,0,484,235,204,2009
129900,9,0,468,90,0,2008
118000,10,0,205,0,4,2008
129500,11,0,384,0,0,2008
345000,12,0,736,147,21,2006
144000,13,0,352,140,0,2008
279500,14,0,840,160,33,2007
157000,15,0,352,0,213,2008
132000,16,0,576,48,112,2007
149000,17,0,480,0,0,2010
90000,18,0,516,0,0,2006
159000,19,0,576,0,102,2008
139000,20,0,294,0,0,2009
325300,21,0,853,240,154,2006
139400,22,0,280,0,0,2007
230000,23,0,534,171,159,2008
129900,24,0,572,100,110,2007
154000,25,0,270,406,90,2010
256300,26,0,890,0,56,2009
134800,27,1,576,222,32,2010
306000,28,0,772,0,50,2010
207500,29,0,319,288,258,2006
68500,30,0,240,49,0,2008
40000,31,0,250,0,54,2008
149350,32,0,271,0,65,2008
179900,33,0,484,0,30,2008
165500,34,1,447,0,38,2010
277500,35,0,556,203,47,2007
309000,36,0,691,113,32,2006
145000,37,0,672,392,64,2009
153000,38,1,498,0,0,2009
109000,39,0,246,0,52,2010
82000,40,0,0,0,0,2008
160000,41,0,440,0,138,2006
170000,42,1,308,0,104,2007
144000,43,0,504,240,0,2007
130250,44,0,308,145,0,2008
141000,45,0,300,0,0,2006
319900,46,0,576,196,82,2010
239686,47,0,670,168,43,2009
249700,48,0,826,0,146,2007
113000,49,0,0,0,0,2009
127000,50,0,386,0,0,2007
177000,51,1,388,0,75,2007
114500,52,0,528,112,0,2006
110000,53,0,516,106,0,2010
385000,54,0,894,857,72,2006
130000,55,0,572,0,50,2007
180500,56,0,576,0,0,2008
172500,57,0,480,115,0,2009
196500,58,0,565,0,70,2006
438780,59,0,641,192,0,2006
124900,60,0,352,196,0,2008
158000,61,0,576,0,50,2006
101000,62,0,288,0,0,2007
202500,63,0,484,120,49,2007
140000,64,0,480,12,11,2010
219500,65,0,645,576,36,2009
317000,66,0,852,192,151,2007
180000,67,0,576,301,0,2010
226000,68,0,558,144,29,2007
80000,69,0,220,0,0,2010
225000,70,0,667,0,21,2006
244000,71,0,516,300,0,2007
129500,72,0,360,0,0,2007
185000,73,0,427,0,94,2009
144900,74,0,490,0,0,2010
107400,75,0,379,0,0,2010
91000,76,0,297,120,101,2009
135750,77,0,283,0,0,2008
127000,78,0,240,0,0,2008
136500,79,0,0,0,0,2010
110000,80,0,440,74,0,2009
193500,81,0,509,0,72,2009
153500,82,0,405,0,199,2006
245000,83,0,758,144,99,2008
126500,84,0,461,74,0,2007
168500,85,0,400,120,72,2009
260000,86,0,462,127,82,2006
174000,87,0,400,100,38,2009
164500,88,0,528,0,234,2009
85000,89,0,0,0,0,2009
123600,90,0,0,0,0,2007
109900,91,0,420,0,29,2006
98600,92,0,480,0,0,2006
163500,93,0,432,0,0,2009
133900,94,1,506,0,0,2007
204750,95,0,684,0,162,2007
185000,96,0,420,232,63,2009
214000,97,0,472,158,29,2006
94750,98,0,432,120,0,2007
83000,99,0,366,0,0,2010
128950,100,0,0,352,0,2010
205000,101,0,480,168,68,2010
178000,102,0,476,192,46,2010
118964,103,0,410,0,0,2009
198900,104,0,740,0,36,2010
169500,105,0,240,0,0,2007
250000,106,0,648,140,45,2008
100000,107,0,273,0,0,2007
115000,108,0,250,0,0,2008
115000,109,0,0,0,0,2007
190000,110,0,546,0,122,2010
136900,111,0,325,182,0,2006
180000,112,0,400,180,0,2010
383970,113,0,792,120,184,2007
217000,114,0,450,166,120,2007
259500,115,0,180,224,0,2007
176000,116,0,440,0,32,2007
139000,117,1,288,0,20,2009
155000,118,0,430,80,64,2007
320000,119,0,594,367,0,2010
163990,120,0,390,0,24,2006
180000,121,0,540,0,130,2006
100000,122,0,264,0,0,2007
136000,123,0,288,0,0,2008
153900,124,0,530,0,63,2008
181000,125,0,435,192,0,2009
84500,126,0,0,53,0,2006
128000,127,0,440,0,205,2007
87000,128,0,0,0,0,2007
155000,129,0,453,188,108,2006
150000,130,1,750,0,80,2006
226000,131,0,487,105,66,2006
244000,132,0,390,24,48,2009
150750,133,0,624,0,0,2007
220000,134,0,471,192,25,2009
180000,135,0,440,0,96,2006
174000,136,0,530,98,0,2008
143000,137,0,318,0,111,2007
171000,138,0,766,0,0,2006
230000,139,0,660,224,106,2008
231500,140,0,470,276,99,2009
115000,141,0,0,0,0,2010
260000,142,0,660,160,24,2006
166000,143,0,720,0,0,2010
204000,144,0,577,144,29,2009
125000,145,0,504,0,0,2006
130000,146,0,380,0,40,2006
105000,147,0,180,48,0,2009
222500,148,0,434,144,48,2010
141000,149,0,0,0,0,2008
115000,150,0,240,200,114,2006
122000,151,0,440,0,0,2007
372402,152,0,866,0,102,2008
190000,153,0,495,0,66,2006
235000,154,0,564,409,0,2008
125000,155,0,312,0,0,2006
79000,156,0,0,0,8,2008
109500,157,0,625,0,0,2006
269500,158,0,680,0,75,2010
254900,159,0,678,0,136,2010
320000,160,0,576,239,132,2006
162500,161,0,516,0,0,2008
412500,162,0,726,400,0,2008
220000,163,0,532,0,70,2010
103200,164,0,0,0,0,2007
152000,165,0,216,0,0,2007
127500,166,0,0,140,0,2008
190000,167,0,303,476,0,2009
325624,168,0,789,178,120,2007
183500,169,0,440,100,48,2007
228000,170,0,511,574,64,2006
128500,171,0,660,237,0,2007
215000,172,0,528,210,62,2010
239000,173,0,504,441,35,2006
163000,174,0,504,0,20,2008
184000,175,0,616,192,0,2008
243000,176,0,576,0,29,2007
211000,177,1,521,0,228,2007
172500,178,0,451,0,0,2006
501837,179,0,1166,0,60,2009
100000,180,0,480,0,0,2007
177000,181,0,440,0,0,2007
200100,182,0,216,0,0,2006
120000,183,0,252,116,0,2007
200000,184,0,484,280,238,2008
127000,185,0,576,104,0,2006
475000,186,0,840,0,260,2006
173000,187,0,497,168,27,2009
135000,188,0,180,0,0,2009
153337,189,0,528,120,0,2009
286000,190,0,682,0,120,2008
315000,191,0,440,0,74,2007
184000,192,0,484,0,32,2007
192000,193,0,666,0,35,2009
130000,194,0,380,0,40,2006
127000,195,0,352,0,0,2008
148500,196,0,440,87,0,2009
311872,197,0,786,171,138,2007
235000,198,1,795,0,16,2006
104000,199,0,0,0,198,2009
274900,200,0,856,0,26,2009
140000,201,0,440,132,64,2010
171500,202,1,473,238,83,2008
112000,203,0,398,0,0,2006
149000,204,0,420,149,0,2008
110000,205,0,240,0,35,2009
180500,206,0,500,0,34,2009
143900,207,0,349,0,30,2007
141000,208,0,312,355,0,2008
277000,209,0,454,60,55,2007
145000,210,0,504,0,0,2008
98000,211,0,0,0,0,2008
186000,212,0,460,100,22,2010
252678,213,0,644,168,108,2009
156000,214,1,576,224,0,2006
161750,215,0,299,0,36,2010
134450,216,1,447,0,0,2006
210000,217,0,484,139,98,2008
107000,218,0,210,0,172,2006
311500,219,1,431,0,119,2008
167240,220,0,438,108,0,2006
204900,221,0,675,351,33,2006
200000,222,0,390,120,46,2009
179900,223,0,434,209,208,2006
97000,224,0,576,216,0,2009
386250,225,0,968,248,105,2009
112000,226,0,280,0,0,2009
290000,227,0,721,224,114,2007
106000,228,0,280,0,0,2008
125000,229,0,336,0,0,2010
192500,230,0,430,143,20,2009
148000,231,0,312,0,0,2010
403000,232,0,810,0,146,2009
94500,233,0,288,0,0,2006
128200,234,0,308,365,0,2010
216500,235,0,440,288,48,2010
89500,236,0,264,0,0,2008
185500,237,0,494,132,105,2010
194500,238,0,457,370,70,2010
318000,239,0,818,168,228,2007
113000,240,0,220,0,140,2010
262500,241,0,750,144,168,2010
110500,242,0,0,58,42,2007
79000,243,0,352,0,0,2006
120000,244,0,288,0,28,2009
205000,245,0,463,0,130,2010
241500,246,1,604,197,39,2006
137000,247,0,440,0,60,2006
140000,248,0,451,0,30,2006
180000,249,0,500,144,68,2007
277000,250,1,389,0,98,2007
76500,251,0,0,263,0,2010
235000,252,1,538,123,0,2007
173000,253,0,520,138,45,2008
158000,254,1,309,333,0,2007
145000,255,0,294,250,0,2010
